,año,afiliados (total),afiliados (subsidiado),afiliados (contributivo),numero de cápitas pagadas (total),numero de cápitas pagadas (subsidiado),numero de cápitas pagadas (contributivo),número de cápitas /afiliado (total),número de cápitas /afiliado (subsidiado),número de cápitas /afiliado (contributivo)
1,2005.0,253374.0,253374.0,0.0,266531.0,266531.0,0.0,1.0519271906351875,1.0519271906351875,0.0
2,2006.0,514040.0,514040.0,0.0,513416.0,513416.0,0.0,0.998786086685861,0.998786086685861,0.0
3,2007.0,2559117.0,1081936.0,1477181.0,2681403.0,1081936.0,1599467.0,1.0477844506523148,1.0,1.0827833555942028
4,2008.0,2917157.0,1224898.0,1692259.0,2954314.0,1224643.0,1729671.0,1.0127374015179849,0.9997918194004726,1.0221077270086907
5,2009.0,3492524.0,1404225.0,2088299.0,3442398.0,1346166.0,2096232.0,0.9856476290499364,0.9586540618490627,1.0037987855187405
6,2010.0,4377869.0,2013786.0,2364083.0,4265825.0,1847833.0,2417992.0,0.9744067261948679,0.9175915415044101,1.0228033448910212
7,2011.0,4520850.0,2003427.0,2517423.0,4583278.0,1996335.0,2586943.0,1.0138089076169305,0.9964600656774617,1.0276155417663222
8,2012.0,4991762.0,2303351.0,2688411.0,5042091.0,2294356.0,2747735.0,1.0100824117816514,0.9960948201120888,1.0220665664587743
9,2013.0,5611059.0,2751753.0,2859306.0,5612213.0,2646899.0,2965314.0,1.0002056652763764,0.9618955625741118,1.0370747307213708
10,2014.0,6157245.0,3015646.0,3141599.0,6240593.0,3015646.0,3224947.0,1.0135365735812039,1.0,1.026530438798841
11,2015.0,6657243.0,3317405.0,3339838.0,6517618.0,3110557.0,3407061.0,0.9790266030547481,0.9376476492921425,1.0201276229565626
12,2016.0,6938356.0,3347068.0,3591288.0,7053382.0,3353566.0,3699816.0,1.0165782787738191,1.0019414006527505,1.0302197985792283
13,2017.0,7449280.0,3546688.0,3902592.0,7565682.0,3545383.0,4020299.0,1.0156259396881309,0.999632051085407,1.030161236429532
14,2018.0,7774137.0,3620150.0,4153987.0,7831518.0,3591049.0,4240469.0,1.0073810121946654,0.9919613828156292,1.0208190348212451
15,2019.0,7954923.0,3726262.0,4228661.0,8021503.0,3711158.0,4310345.0,1.0083696598948853,0.9959466081558409,1.0193167529863472
16,2020.0,9961742.0,5746839.0,4214903.0,10087942.0,5742227.0,4345715.0,1.0126684670211294,0.9991974718623577,1.0310355896683743
17,2021.0,10032808.0,5747449.0,4285359.0,4359036.0,0.0,4359036.0,0.43447816403941947,0.0,1.0171927252769255
21,2022.0,10339111,5770201,4568910,4649234,0,4649234,0.4496744449305167,0,1.0175805607902104
25,2023.0,10267254,5690186,4577068,4662640,0,4662640,0.5093479056898433,0,1.0186958113796867
